"Id","VersionNumber","Title","ERROR"
"068J1000001yeV4IAI","1","eicar","insufficient access rights on object id"
"068J1000001yf88IAA","1","Test628","insufficient access rights on object id"
"068J10000053OWRIA2","1","new","insufficient access rights on object id"
"068J10000053OcJIAU","2","new.txt-BLOCKED","insufficient access rights on object id"
"068J10000053PJvIAM","1","ssnFile (1)","insufficient access rights on object id"
"068J10000053PKjIAM","2","ssnFile (1).pptx-BLOCKED","insufficient access rights on object id"
"068J10000053PKKIA2","1","670","insufficient access rights on object id"
"068J1000007LRPXIA4","1","Confidential (5) (1) (1)","insufficient access rights on object id"
"068J1000007LqKNIA0","1","Confidential (5)","insufficient access rights on object id"
"068J1000007LqhrIAC","1","Confidential (5) (1) (1)","insufficient access rights on object id"
"068J1000007LqipIAC","2","Confidential (5) (1) (1).docx-BLOCKED","insufficient access rights on object id"
